"species" "island" "bill_length_mm" "bill_depth_mm" "flipper_length_mm" "body_mass_g" "sex" "year"
"152" "Chinstrap" "Dream" 49.7 18.6 195 3600 "male" 2008
"153" "Chinstrap" "Dream" 52 20.7 210 4800 "male" 2008
"154" "Chinstrap" "Dream" 53.5 19.9 205 4500 "male" 2008
"155" "Chinstrap" "Dream" 49 19.5 210 3950 "male" 2008
"156" "Chinstrap" "Dream" 50.9 19.1 196 3550 "male" 2008
"157" "Chinstrap" "Dream" 50.8 18.5 201 4450 "male" 2009
"158" "Chinstrap" "Dream" 49 19.6 212 4300 "male" 2009
"159" "Chinstrap" "Dream" 51.5 18.7 187 3250 "male" 2009
"160" "Chinstrap" "Dream" 51.4 19 201 3950 "male" 2009
"161" "Chinstrap" "Dream" 50.7 19.7 203 4050 "male" 2009
"162" "Chinstrap" "Dream" 52.2 18.8 197 3450 "male" 2009
"163" "Chinstrap" "Dream" 49.3 19.9 203 4050 "male" 2009
"164" "Chinstrap" "Dream" 50.2 18.8 202 3800 "male" 2009
"165" "Chinstrap" "Dream" 51.9 19.5 206 3950 "male" 2009
"166" "Chinstrap" "Dream" 55.8 19.8 207 4000 "male" 2009
"167" "Chinstrap" "Dream" 49.6 18.2 193 3775 "male" 2009
"168" "Chinstrap" "Dream" 50.8 19 210 4100 "male" 2009
